CMDLINE /home/dn16382/anaconda3/bin/python mnist_example.py
MEM 2.039062 1567447827.7894
MEM 18.925781 1567447827.9009
MEM 35.066406 1567447828.0218
MEM 39.074219 1567447828.1357
MEM 44.886719 1567447828.2442
MEM 66.746094 1567447828.3524
MEM 76.746094 1567447828.4606
MEM 84.585938 1567447828.5687
MEM 136.789062 1567447828.6770
MEM 163.726562 1567447828.7852
MEM 163.980469 1567447828.8935
MEM 175.226562 1567447829.0017
MEM 181.007812 1567447829.1098
MEM 188.328125 1567447829.2194
MEM 200.597656 1567447829.3276
MEM 206.679688 1567447829.4356
MEM 214.187500 1567447829.5439
MEM 220.757812 1567447829.6522
MEM 232.062500 1567447829.7603
MEM 240.339844 1567447829.8704
MEM 254.175781 1567447829.9787
MEM 262.351562 1567447830.0871
MEM 265.929688 1567447830.1953
MEM 280.031250 1567447830.3035
MEM 292.148438 1567447830.4119
MEM 309.421875 1567447830.5262
MEM 367.589844 1567447830.6344
MEM 365.148438 1567447830.7429
MEM 493.539062 1567447830.8513
MEM 656.734375 1567447830.9597
MEM 679.234375 1567447831.0682
MEM 650.246094 1567447831.1772
MEM 710.464844 1567447831.2855
CHLD 0 601.089844 1567447831.2952
CHLD 1 601.097656 1567447831.2953
CHLD 2 601.097656 1567447831.2954
MEM 710.542969 1567447831.3958
CHLD 0 601.089844 1567447831.4089
CHLD 1 601.097656 1567447831.4089
CHLD 2 601.097656 1567447831.4090
CHLD 3 601.097656 1567447831.4090
CHLD 4 0.000000 1567447831.4091
CHLD 5 0.000000 1567447831.4092
MEM 710.886719 1567447831.5147
CHLD 0 0.000000 1567447831.5269
CHLD 1 0.000000 1567447831.5269
CHLD 2 0.000000 1567447831.5270
CHLD 3 0.000000 1567447831.5270
CHLD 4 0.000000 1567447831.5271
CHLD 5 0.000000 1567447831.5271
CHLD 6 0.000000 1567447831.5272
MEM 711.011719 1567447831.6276
MEM 710.824219 1567447831.7362
MEM 385.835938 1567447831.8446
