CMDLINE /home/dn16382/anaconda3/bin/python mnist_example.py
MEM 1.867188 1567447141.4187
MEM 17.593750 1567447141.5281
MEM 34.296875 1567447141.6453
MEM 42.257812 1567447141.7537
MEM 64.207031 1567447141.8621
MEM 73.500000 1567447141.9704
MEM 80.605469 1567447142.0788
MEM 108.359375 1567447142.1929
MEM 146.304688 1567447142.3015
MEM 164.152344 1567447142.4102
MEM 166.792969 1567447142.5187
MEM 176.285156 1567447142.6294
MEM 182.632812 1567447142.7380
MEM 189.902344 1567447142.8473
MEM 202.414062 1567447142.9557
MEM 208.464844 1567447143.0645
MEM 214.355469 1567447143.1745
MEM 220.753906 1567447143.2885
MEM 231.628906 1567447143.3971
MEM 239.585938 1567447143.5054
MEM 254.328125 1567447143.6139
MEM 261.941406 1567447143.7229
MEM 266.074219 1567447143.8314
MEM 281.480469 1567447143.9397
MEM 298.238281 1567447144.0484
MEM 346.992188 1567447144.1568
MEM 320.246094 1567447144.2682
MEM 388.949219 1567447144.3770
MEM 532.550781 1567447144.4918
MEM 668.933594 1567447144.6007
MEM 679.312500 1567447144.7094
MEM 660.109375 1567447144.8192
MEM 710.882812 1567447144.9279
CHLD 0 601.125000 1567447144.9398
CHLD 1 601.132812 1567447144.9398
CHLD 2 601.136719 1567447144.9399
CHLD 3 601.136719 1567447144.9399
MEM 711.007812 1567447145.0403
MEM 711.078125 1567447145.1491
MEM 710.828125 1567447145.2579
MEM 342.496094 1567447145.3665
