CMDLINE /home/dn16382/anaconda3/bin/python mnist_example.py
MEM 1.945312 1567445235.6970
MEM 17.921875 1567445235.8054
MEM 32.980469 1567445235.9196
MEM 41.164062 1567445236.0278
MEM 61.695312 1567445236.1359
MEM 72.386719 1567445236.2440
MEM 79.800781 1567445236.3520
MEM 123.488281 1567445236.4601
MEM 160.742188 1567445236.5682
MEM 162.972656 1567445236.6765
MEM 169.335938 1567445236.7846
MEM 177.472656 1567445236.8928
MEM 181.632812 1567445237.0071
MEM 185.550781 1567445237.1182
MEM 194.023438 1567445237.2311
MEM 204.328125 1567445237.3443
MEM 213.031250 1567445237.4575
MEM 217.761719 1567445237.5695
MEM 229.585938 1567445237.6829
MEM 237.503906 1567445237.7961
MEM 252.777344 1567445237.9098
MEM 258.773438 1567445238.0218
MEM 264.093750 1567445238.1349
MEM 276.867188 1567445238.2483
MEM 293.625000 1567445238.3611
MEM 309.351562 1567445238.4704
MEM 318.609375 1567445238.5793
MEM 363.589844 1567445238.6900
MEM 517.761719 1567445238.7985
MEM 682.503906 1567445238.9068
MEM 677.679688 1567445239.0152
MEM 671.636719 1567445239.1298
MEM 709.132812 1567445239.2438
CHLD 0 601.246094 1567445239.2565
CHLD 1 601.246094 1567445239.2566
CHLD 2 601.246094 1567445239.2567
CHLD 3 601.246094 1567445239.2567
MEM 709.273438 1567445239.3571
MEM 709.367188 1567445239.4653
MEM 709.074219 1567445239.5739
MEM 0.000000 1567445239.6823
