CMDLINE /home/dn16382/anaconda3/bin/python mnist_example.py
MEM 1.941406 1567454067.8226
MEM 15.585938 1567454067.9451
MEM 29.519531 1567454068.0685
MEM 36.527344 1567454068.1835
MEM 44.925781 1567454068.2989
MEM 67.550781 1567454068.4154
MEM 77.847656 1567454068.5309
MEM 85.039062 1567454068.6468
MEM 148.105469 1567454068.7619
MEM 162.285156 1567454068.8773
MEM 166.531250 1567454068.9923
MEM 176.613281 1567454069.1082
MEM 182.308594 1567454069.2234
MEM 191.167969 1567454069.3386
MEM 203.312500 1567454069.4534
MEM 212.187500 1567454069.5680
MEM 216.546875 1567454069.6832
MEM 228.660156 1567454069.7992
MEM 236.531250 1567454069.9149
MEM 251.589844 1567454070.0307
