CMDLINE /home/dn16382/anaconda3/bin/python mnist_example.py
MEM 7.785156 1567444246.8586
MEM 9.152344 1567444246.9675
MEM 9.371094 1567444247.0794
MEM 13.371094 1567444247.1961
MEM 14.484375 1567444247.3047
MEM 15.691406 1567444247.4142
MEM 18.660156 1567444247.5235
MEM 20.128906 1567444247.6367
MEM 21.722656 1567444247.7509
MEM 26.683594 1567444247.8640
MEM 27.832031 1567444247.9767
MEM 30.832031 1567444248.0876
MEM 33.421875 1567444248.1995
MEM 36.152344 1567444248.3153
MEM 38.507812 1567444248.4264
MEM 40.652344 1567444248.5349
MEM 41.035156 1567444248.6480
MEM 42.066406 1567444248.7623
MEM 43.042969 1567444248.8765
MEM 44.699219 1567444248.9905
MEM 46.757812 1567444249.1038
MEM 47.894531 1567444249.2169
MEM 54.210938 1567444249.3309
MEM 54.687500 1567444249.4431
MEM 56.453125 1567444249.5562
MEM 64.097656 1567444249.6699
MEM 69.871094 1567444249.7808
MEM 78.355469 1567444249.8943
MEM 84.832031 1567444250.0066
MEM 85.484375 1567444250.1159
MEM 124.687500 1567444250.2282
MEM 129.890625 1567444250.3403
MEM 135.785156 1567444250.4542
MEM 148.332031 1567444250.5679
MEM 159.683594 1567444250.6774
MEM 159.921875 1567444250.7866
MEM 162.675781 1567444250.8977
MEM 163.128906 1567444251.0111
MEM 163.128906 1567444251.1236
MEM 163.128906 1567444251.2391
MEM 163.128906 1567444251.3514
MEM 163.128906 1567444251.4641
MEM 163.128906 1567444251.5763
MEM 163.128906 1567444251.6885
MEM 163.128906 1567444251.7995
MEM 163.128906 1567444251.9111
MEM 163.128906 1567444252.0245
MEM 163.128906 1567444252.1343
MEM 163.128906 1567444252.2474
MEM 163.128906 1567444252.3602
MEM 163.128906 1567444252.4740
MEM 163.128906 1567444252.5876
MEM 163.128906 1567444252.7033
MEM 163.128906 1567444252.8122
MEM 163.128906 1567444252.9206
MEM 163.128906 1567444253.0313
MEM 163.128906 1567444253.1442
MEM 163.128906 1567444253.2567
MEM 163.128906 1567444253.3704
MEM 163.128906 1567444253.4786
MEM 163.128906 1567444253.5868
MEM 163.128906 1567444253.6956
MEM 163.128906 1567444253.8077
MEM 163.382812 1567444253.9164
MEM 163.382812 1567444254.0250
MEM 165.718750 1567444254.1394
MEM 167.007812 1567444254.2502
MEM 167.992188 1567444254.3619
MEM 169.496094 1567444254.4739
MEM 172.019531 1567444254.5872
MEM 173.687500 1567444254.6958
MEM 177.125000 1567444254.8046
MEM 178.808594 1567444254.9184
MEM 180.097656 1567444255.0332
MEM 182.042969 1567444255.1418
MEM 184.050781 1567444255.2530
MEM 185.320312 1567444255.3612
MEM 186.429688 1567444255.4699
MEM 187.835938 1567444255.5866
MEM 189.367188 1567444255.6986
MEM 190.468750 1567444255.8108
MEM 192.449219 1567444255.9281
MEM 195.070312 1567444256.0413
MEM 195.902344 1567444256.1573
MEM 199.687500 1567444256.2654
MEM 201.476562 1567444256.3751
MEM 203.207031 1567444256.4873
MEM 204.183594 1567444256.5998
MEM 204.941406 1567444256.7121
MEM 206.484375 1567444256.8241
MEM 206.742188 1567444256.9355
MEM 207.753906 1567444257.0483
MEM 207.796875 1567444257.1608
CHLD 0 2.097656 1567444257.1707
MEM 208.332031 1567444257.2711
MEM 208.800781 1567444257.3796
MEM 213.015625 1567444257.4958
MEM 213.390625 1567444257.6079
MEM 214.226562 1567444257.7210
MEM 215.925781 1567444257.8354
MEM 217.050781 1567444257.9483
MEM 219.292969 1567444258.0642
MEM 221.238281 1567444258.1759
MEM 222.113281 1567444258.2844
MEM 225.414062 1567444258.3932
MEM 227.472656 1567444258.5015
MEM 229.066406 1567444258.6102
MEM 229.851562 1567444258.7240
MEM 231.167969 1567444258.8375
MEM 232.292969 1567444258.9515
MEM 232.648438 1567444259.0648
MEM 233.222656 1567444259.1778
MEM 233.847656 1567444259.2863
MEM 235.277344 1567444259.3964
MEM 237.882812 1567444259.5052
MEM 240.980469 1567444259.6195
MEM 247.128906 1567444259.7333
MEM 247.886719 1567444259.8456
MEM 252.957031 1567444259.9587
MEM 253.289062 1567444260.0699
MEM 254.265625 1567444260.1794
MEM 257.683594 1567444260.2926
MEM 259.382812 1567444260.4034
MEM 261.644531 1567444260.5145
MEM 262.542969 1567444260.6270
MEM 262.988281 1567444260.7359
MEM 263.242188 1567444260.8444
MEM 264.750000 1567444260.9568
MEM 264.781250 1567444261.0693
MEM 273.972656 1567444261.1791
MEM 289.441406 1567444261.2873
MEM 304.136719 1567444261.3956
MEM 362.250000 1567444261.5040
MEM 364.183594 1567444261.6126
MEM 440.496094 1567444261.7271
MEM 599.566406 1567444261.8417
MEM 678.273438 1567444261.9502
MEM 633.410156 1567444262.0611
