CMDLINE /home/dn16382/anaconda3/bin/python mnist_example.py
MEM 2.023438 1567442361.7616
MEM 17.281250 1567442361.8702
MEM 33.785156 1567442361.9887
MEM 42.156250 1567442362.0967
MEM 63.773438 1567442362.2048
MEM 72.828125 1567442362.3128
MEM 80.425781 1567442362.4225
MEM 123.261719 1567442362.5311
MEM 162.507812 1567442362.6401
MEM 164.656250 1567442362.7482
MEM 170.070312 1567442362.8564
MEM 178.726562 1567442362.9705
MEM 181.589844 1567442363.0788
MEM 187.308594 1567442363.1870
MEM 195.878906 1567442363.2953
MEM 206.144531 1567442363.4033
MEM 215.160156 1567442363.5114
MEM 218.972656 1567442363.6198
MEM 231.515625 1567442363.7323
MEM 239.812500 1567442363.8407
MEM 255.406250 1567442363.9487
MEM 259.878906 1567442364.0569
MEM 266.722656 1567442364.1650
MEM 279.007812 1567442364.2750
MEM 294.992188 1567442364.3831
MEM 311.234375 1567442364.4911
MEM 374.238281 1567442364.5991
MEM 366.386719 1567442364.7073
MEM 507.152344 1567442364.8154
MEM 666.738281 1567442364.9235
MEM 680.472656 1567442365.0318
MEM 653.812500 1567442365.1408
MEM 711.765625 1567442365.2550
CHLD 0 601.058594 1567442365.2646
CHLD 1 601.066406 1567442365.2647
CHLD 2 601.066406 1567442365.2647
CHLD 3 601.066406 1567442365.2648
MEM 712.035156 1567442365.3652
MEM 728.128906 1567442365.4734
MEM 729.253906 1567442365.5813
MEM 729.628906 1567442365.6893
MEM 729.628906 1567442365.7976
MEM 729.441406 1567442365.9056
