CMDLINE /home/dn16382/anaconda3/bin/python mnist_example.py
MEM 2.003906 1567443529.1100
MEM 17.863281 1567443529.2188
MEM 33.320312 1567443529.3413
MEM 41.203125 1567443529.4496
MEM 58.781250 1567443529.5580
MEM 71.632812 1567443529.6716
MEM 79.554688 1567443529.7825
MEM 122.960938 1567443529.8961
MEM 161.500000 1567443530.0082
MEM 163.726562 1567443530.1217
MEM 170.046875 1567443530.2353
MEM 179.015625 1567443530.3493
MEM 184.511719 1567443530.4631
MEM 192.425781 1567443530.5767
MEM 204.789062 1567443530.6904
MEM 213.093750 1567443530.8036
MEM 216.667969 1567443530.9170
MEM 228.792969 1567443531.0258
MEM 234.593750 1567443531.1354
MEM 251.121094 1567443531.2498
MEM 257.046875 1567443531.3644
MEM 264.160156 1567443531.4727
MEM 272.500000 1567443531.5853
MEM 289.257812 1567443531.6935
MEM 305.757812 1567443531.8016
MEM 372.117188 1567443531.9099
MEM 365.574219 1567443532.0189
MEM 458.445312 1567443532.1274
MEM 609.523438 1567443532.2358
MEM 679.714844 1567443532.3443
MEM 634.851562 1567443532.4535
