CMDLINE /home/dn16382/anaconda3/bin/python mnist_example.py
MEM 1.917969 1567447159.9513
MEM 17.062500 1567447160.0654
MEM 31.328125 1567447160.1834
MEM 40.777344 1567447160.2919
MEM 51.835938 1567447160.4002
MEM 70.277344 1567447160.5084
MEM 78.945312 1567447160.6169
MEM 97.867188 1567447160.7261
MEM 161.210938 1567447160.8345
MEM 164.628906 1567447160.9430
MEM 168.980469 1567447161.0511
MEM 178.363281 1567447161.1593
MEM 183.871094 1567447161.2675
MEM 190.937500 1567447161.3818
MEM 203.750000 1567447161.4978
MEM 209.425781 1567447161.6119
MEM 215.339844 1567447161.7235
MEM 225.707031 1567447161.8316
MEM 234.863281 1567447161.9429
MEM 248.531250 1567447162.0514
MEM 255.832031 1567447162.1646
MEM 264.414062 1567447162.2792
MEM 267.855469 1567447162.3934
MEM 284.613281 1567447162.5066
MEM 301.371094 1567447162.6197
MEM 358.226562 1567447162.7329
MEM 355.027344 1567447162.8475
MEM 424.378906 1567447162.9610
MEM 584.480469 1567447163.0694
MEM 680.195312 1567447163.1781
MEM 635.332031 1567447163.2878
MEM 704.796875 1567447163.3961
MEM 711.734375 1567447163.5052
CHLD 0 601.222656 1567447163.5182
CHLD 1 601.230469 1567447163.5183
CHLD 2 601.230469 1567447163.5183
CHLD 3 601.230469 1567447163.5184
MEM 711.855469 1567447163.6188
MEM 711.921875 1567447163.7313
MEM 711.734375 1567447163.8448
