CMDLINE /home/dn16382/anaconda3/bin/python mnist_example.py
MEM 7.648438 1567443319.7195
MEM 9.066406 1567443319.8285
MEM 11.523438 1567443319.9386
MEM 14.457031 1567443320.0562
MEM 15.628906 1567443320.1685
MEM 19.183594 1567443320.2816
MEM 21.769531 1567443320.3921
MEM 26.441406 1567443320.5008
MEM 27.777344 1567443320.6144
MEM 30.488281 1567443320.7275
MEM 32.089844 1567443320.8402
MEM 35.011719 1567443320.9515
MEM 40.343750 1567443321.0651
MEM 41.160156 1567443321.1735
MEM 41.675781 1567443321.2839
MEM 44.007812 1567443321.3968
MEM 45.546875 1567443321.5097
MEM 46.699219 1567443321.6225
MEM 47.546875 1567443321.7343
MEM 48.777344 1567443321.8429
MEM 53.429688 1567443321.9514
MEM 54.460938 1567443322.0644
MEM 54.734375 1567443322.1768
MEM 56.156250 1567443322.2890
MEM 59.023438 1567443322.4029
MEM 63.765625 1567443322.5159
MEM 67.171875 1567443322.6294
MEM 77.347656 1567443322.7375
MEM 82.593750 1567443322.8457
MEM 85.355469 1567443322.9539
MEM 85.597656 1567443323.0650
MEM 90.878906 1567443323.1788
MEM 96.917969 1567443323.2924
MEM 105.519531 1567443323.4046
MEM 105.519531 1567443323.5152
MEM 109.441406 1567443323.6280
MEM 111.359375 1567443323.7404
MEM 113.488281 1567443323.8529
MEM 115.371094 1567443323.9669
MEM 119.726562 1567443324.0815
MEM 122.644531 1567443324.1932
MEM 128.484375 1567443324.3064
MEM 132.769531 1567443324.4192
MEM 160.050781 1567443324.5321
MEM 160.390625 1567443324.6410
MEM 163.488281 1567443324.7513
MEM 163.953125 1567443324.8630
MEM 163.953125 1567443324.9752
MEM 163.953125 1567443325.0879
MEM 163.953125 1567443325.2005
MEM 163.953125 1567443325.3135
MEM 163.953125 1567443325.4279
MEM 163.953125 1567443325.5404
MEM 163.953125 1567443325.6532
MEM 163.953125 1567443325.7645
MEM 163.953125 1567443325.8770
MEM 163.953125 1567443325.9904
MEM 163.953125 1567443326.1037
MEM 163.953125 1567443326.2180
MEM 163.953125 1567443326.3264
MEM 163.953125 1567443326.4372
MEM 163.953125 1567443326.5503
MEM 163.953125 1567443326.6631
MEM 163.953125 1567443326.7756
MEM 163.953125 1567443326.8874
MEM 163.953125 1567443327.0001
MEM 163.953125 1567443327.1121
MEM 163.953125 1567443327.2267
MEM 163.953125 1567443327.3391
MEM 163.953125 1567443327.4509
MEM 163.953125 1567443327.5631
MEM 163.953125 1567443327.6750
MEM 163.953125 1567443327.7862
MEM 166.007812 1567443327.8944
MEM 167.648438 1567443328.0108
MEM 168.742188 1567443328.1243
MEM 170.292969 1567443328.2394
MEM 173.253906 1567443328.3514
MEM 177.437500 1567443328.4600
MEM 179.519531 1567443328.5695
MEM 180.808594 1567443328.6814
MEM 182.652344 1567443328.7960
MEM 184.652344 1567443328.9110
MEM 185.851562 1567443329.0239
MEM 187.292969 1567443329.1376
MEM 188.699219 1567443329.2490
MEM 189.867188 1567443329.3626
MEM 191.152344 1567443329.4762
MEM 192.945312 1567443329.5886
MEM 195.140625 1567443329.6998
MEM 196.410156 1567443329.8119
MEM 200.933594 1567443329.9258
MEM 203.332031 1567443330.0387
MEM 204.363281 1567443330.1520
MEM 205.394531 1567443330.2644
MEM 206.667969 1567443330.3757
MEM 207.433594 1567443330.4879
MEM 207.691406 1567443330.6003
MEM 208.671875 1567443330.7145
CHLD 0 0.007812 1567443330.7227
MEM 208.675781 1567443330.8232
CHLD 0 2.238281 1567443330.8361
MEM 208.679688 1567443330.9366
MEM 209.566406 1567443331.0494
MEM 212.500000 1567443331.1636
MEM 214.226562 1567443331.2746
MEM 214.476562 1567443331.3833
MEM 215.437500 1567443331.4938
MEM 216.894531 1567443331.6072
MEM 218.187500 1567443331.7196
MEM 220.199219 1567443331.8315
MEM 222.226562 1567443331.9407
MEM 222.433594 1567443332.0527
MEM 226.433594 1567443332.1638
MEM 228.121094 1567443332.2771
MEM 229.917969 1567443332.3895
MEM 230.937500 1567443332.5045
MEM 232.207031 1567443332.6166
MEM 232.863281 1567443332.7288
MEM 233.429688 1567443332.8376
MEM 233.683594 1567443332.9491
MEM 234.628906 1567443333.0619
MEM 235.355469 1567443333.1754
MEM 236.355469 1567443333.2894
MEM 238.875000 1567443333.4032
MEM 241.394531 1567443333.5158
MEM 245.953125 1567443333.6295
MEM 248.535156 1567443333.7415
MEM 250.425781 1567443333.8497
MEM 254.515625 1567443333.9617
MEM 255.539062 1567443334.0701
MEM 257.546875 1567443334.1837
MEM 260.015625 1567443334.2980
MEM 262.421875 1567443334.4101
MEM 263.640625 1567443334.5226
MEM 264.113281 1567443334.6358
MEM 264.476562 1567443334.7446
MEM 265.246094 1567443334.8585
MEM 266.011719 1567443334.9678
MEM 266.269531 1567443335.0892
MEM 277.820312 1567443335.1996
MEM 292.773438 1567443335.3092
MEM 308.242188 1567443335.4173
MEM 351.410156 1567443335.5255
MEM 365.476562 1567443335.6384
MEM 451.843750 1567443335.7493
MEM 602.921875 1567443335.8576
MEM 679.570312 1567443335.9661
MEM 634.707031 1567443336.0760
MEM 682.808594 1567443336.1850
MEM 710.671875 1567443336.2935
MEM 739.925781 1567443336.4027
CHLD 0 601.042969 1567443336.4181
CHLD 1 601.050781 1567443336.4182
CHLD 2 601.050781 1567443336.4183
CHLD 3 601.050781 1567443336.4184
MEM 942.050781 1567443336.5188
CHLD 0 601.042969 1567443336.5335
CHLD 1 601.050781 1567443336.5336
CHLD 2 601.050781 1567443336.5336
CHLD 3 601.050781 1567443336.5337
MEM 1145.679688 1567443336.6342
CHLD 0 601.042969 1567443336.6486
CHLD 1 601.050781 1567443336.6487
CHLD 2 601.050781 1567443336.6488
CHLD 3 601.050781 1567443336.6488
MEM 1343.679688 1567443336.7493
CHLD 0 601.042969 1567443336.7638
CHLD 1 601.050781 1567443336.7639
CHLD 2 601.050781 1567443336.7639
CHLD 3 601.050781 1567443336.7640
MEM 1524.542969 1567443336.8645
CHLD 0 601.042969 1567443336.8729
CHLD 1 601.050781 1567443336.8730
CHLD 2 601.050781 1567443336.8730
CHLD 3 601.050781 1567443336.8730
MEM 1135.031250 1567443336.9734
CHLD 0 703.121094 1567443336.9842
CHLD 1 601.050781 1567443336.9842
CHLD 2 601.050781 1567443336.9843
CHLD 3 601.050781 1567443336.9844
MEM 1135.031250 1567443337.0848
CHLD 0 841.824219 1567443337.0976
CHLD 1 601.050781 1567443337.0976
CHLD 2 601.050781 1567443337.0977
CHLD 3 601.050781 1567443337.0978
MEM 1135.031250 1567443337.1982
CHLD 0 993.675781 1567443337.2186
